Year,State,Labor force participation,Unemployment rate,Average household size,Poverty rate,"Number of corruption convictions per 1,000,000 people",Gini coefficient,GDP per capita,Log of GDP per capita,Age,People with less than 9 years of education/people with college degree or above,Black/white,Hispanic/white,Location
2005,Alabama,61.7,4.5,2.48,13.7,5.68951,0.47300002,40829.08606,10.61715,37.4,0.2972893,0.3691249,0.0320121,south
2006,Alabama,61.5,4,2.5,12.6,11.0175,0.472,40181.42086,10.60116,37.2,0.3130323,0.37965,0.0351332,south
2007,Alabama,61.1,4,2.48,13.1,11.1281,0.47099999,40162.94165,10.6007,37.3,0.296267,0.3804643,0.0375909,south
2008,Alabama,60.6,5.7,2.5,12,3.64658,0.46700001,39747.41156,10.5903,37.4,0.2789401,0.3828507,0.0408255,south
2009,Alabama,59.7,11,2.48,13.4,4.88457,0.47099999,37807.01703,10.54025,37.4,0.2730448,0.3843096,0.0463569,south
2010,Alabama,59.5,10.5,2.57,14.7,2.92563,0.472,38088.20755,10.54766,37.8,0.2823263,0.393883,0.0570079,south
2011,Alabama,59.1,9.6,2.54,14.9,2.915,0.47350001,38531.06199,10.55922,38.1,0.2504067,0.4000218,0.0581422,south
2012,Alabama,58.1,8,2.55,14.7,2.90335,0.47260001,38634.85008,10.56191,38.2,0.2295937,0.3972534,0.0577254,south
2013,Alabama,57.7,7.2,2.59,14.3,2.89632,0.4752,38927.64712,10.56946,38.3,0.2089839,0.4007154,0.0592706,south
2014,Alabama,57.1,6.8,2.57,15,2.26833,0.47580001,38424.47864,10.55645,38.6,0.2155239,0.4029985,0.0600252,south
2015,Alabama,56.8,6.1,2.57,13.7,2.88126,0.48109999,38838.6048,10.56717,38.7,0.2003214,0.4067625,0.0601952,south
2005,Alaska,71.7,6.9,2.75,8.3,1.49937,0.42499998,70203.96009,11.15916,33.9,0.1261195,0.0510625,0.0720261,west
2006,Alaska,71.4,6.6,2.81,8.2,4.44246,0.417,72407.85015,11.19007,33.5,0.1415668,0.0459945,0.0844656,west
2007,Alaska,70.7,6.3,2.8,6.5,22.0491,0.40900001,74784.80488,11.22237,33.3,0.1484212,0.0550718,0.0852169,west
2008,Alaska,71,6.7,2.8,5.7,11.6568,0.403,74142.93032,11.21375,33,0.1089336,0.0552909,0.094632,west
2009,Alaska,70.3,7.7,2.86,6.2,1.43169,0.40200001,79942.26775,11.28906,32.6,0.1143231,0.0596027,0.0955092,west
2010,Alaska,69.8,7.9,2.7,7.2,12.6053,0.42199999,75843.70587,11.23643,33.8,0.100999,0.054041,0.0890186,west
2011,Alaska,69.3,7.6,2.71,6.9,5.53466,0.40990001,75611.22273,11.23336,33.9,0.1161704,0.0503288,0.0905257,west
2012,Alaska,68.4,7.1,2.8,7.5,5.4686,0.42320001,78843.48786,11.27522,33.8,0.105484,0.0569157,0.0948761,west
2013,Alaska,67.9,7,2.88,5.9,2.7206,0.40830001,74476.58056,11.21824,33.1,0.1104371,0.054614,0.105628,west
2014,Alaska,67.7,6.9,2.84,7.9,1.35735,0.41749999,72222.72312,11.18751,33.3,0.0969186,0.0544824,0.1082968,west
2015,Alaska,67,6.5,2.84,7,5.41688,0.43220001,72565.14579,11.19224,33.3,0.0869412,0.0578511,0.1145375,west
2005,Arizona,64.6,4.7,2.65,10.9,8.22047,0.45999998,45123.11852,10.71715,34.5,0.2687385,0.0488043,0.4757212,west
2006,Arizona,64.6,4.2,2.72,10.1,2.65378,0.454,44968.16167,10.71371,34.6,0.2777193,0.0542048,0.4915748,west
2007,Arizona,63.7,3.9,2.77,10.2,5.18834,0.44800001,44947.0316,10.71324,34.9,0.3002381,0.0577199,0.5046728,west
2008,Arizona,63.8,6.2,2.81,10.3,3.07684,0.45300001,42687.43954,10.66166,35.1,0.3006624,0.062337,0.518033,west
2009,Arizona,63.2,9.9,2.84,11.6,2.88063,0.45100001,38673.50426,10.56291,34.9,0.2768549,0.0674129,0.5391872,west
2010,Arizona,63.1,10.4,2.69,12.5,2.49465,0.45500001,40145.6753,10.60027,35.9,0.2434381,0.0712804,0.515392,west
2011,Arizona,61.7,9.5,2.69,14.1,2.7767,0.46000001,40603.11229,10.6116,36.2,0.2337871,0.0716175,0.5249438,west
2012,Arizona,60.5,8.3,2.68,13.6,5.18826,0.46079999,40939.88294,10.61986,36.6,0.2326954,0.0767599,0.529734,west
2013,Arizona,59.6,7.7,2.7,13.6,6.03626,0.46810001,40767.07299,10.61563,36.8,0.2323977,0.074113,0.5346024,west
2014,Arizona,59.9,6.8,2.71,13.2,4.30811,0.46759999,40616.10736,10.61192,36.9,0.2339924,0.0742684,0.5444558,west
2015,Arizona,60,6.1,2.71,12.5,2.63618,0.4702,40924.32874,10.61948,37.4,0.215767,0.0790805,0.5518847,west
2005,Arkansas,63.7,5.2,2.48,13.4,1.43828,0.458,38740.07992,10.56463,37,0.3724655,0.1981588,0.0610042,south
2006,Arkansas,63.7,5.2,2.48,13.1,3.54389,0.46000001,38045.19218,10.54653,37.1,0.4044376,0.20317,0.0644399,south
2007,Arkansas,63.2,5.3,2.5,13.7,2.80835,0.46200001,37447.30411,10.53069,37,0.3721047,0.2049075,0.0681042,south
2008,Arkansas,62.9,5.5,2.49,13,1.75107,0.45899999,37049.49499,10.52001,37.3,0.3658749,0.2050132,0.0729382,south
2009,Arkansas,61.7,7.8,2.49,14.8,1.03826,0.461,35483.74559,10.47683,37.1,0.3777864,0.2066487,0.0796038,south
2010,Arkansas,60.6,8.2,2.55,14.1,5.81872,0.458,36254.9064,10.49833,37.3,0.3248613,0.2133808,0.0839324,south
2011,Arkansas,60.5,8.3,2.54,14.9,2.72296,0.4684,36860.65496,10.5149,37.5,0.3067423,0.2124102,0.0871193,south
2012,Arkansas,59.2,7.6,2.51,14.6,5.08624,0.4632,36873.55845,10.51525,37.6,0.2595616,0.212091,0.0907984,south
2013,Arkansas,58.1,7.2,2.56,14.5,1.35164,0.46849999,37771.11742,10.5393,37.8,0.2696114,0.2129975,0.0932518,south
2014,Arkansas,57.6,6,2.55,13.8,1.68556,0.47139999,37994.62571,10.5452,37.8,0.2632424,0.2151613,0.0945521,south
2015,Arkansas,57.9,5,2.53,13.7,4.36505,0.47729999,38001.84537,10.54539,37.9,0.2444616,0.2158939,0.0955169,south
2005,California,65.5,5.4,2.92,10.3,2.37245,0.46299997,56411.59492,10.94043,34.4,0.354957,0.1368501,0.8199011,west
2006,California,65.4,4.9,2.93,9.7,1.80449,0.46599999,56837.97754,10.94796,34.4,0.3671376,0.1410909,0.8380774,west
2007,California,65.6,5.4,2.93,9.3,2.09653,0.46900001,57549.45822,10.9604,34.7,0.3585472,0.1414264,0.851683,west
2008,California,65.8,7.3,2.95,10,1.57794,0.47299999,57435.62302,10.95842,34.9,0.3593092,0.1462876,0.8708529,west
2009,California,65.2,11.2,2.96,10.6,1.8668,0.46700001,54826.55852,10.91193,34.9,0.3523921,0.1466778,0.8927047,west
2010,California,64.3,12.2,2.94,11.8,1.17807,0.47099999,55105.23502,10.917,35.2,0.3495871,0.1502696,0.9425103,west
2011,California,63.6,11.7,2.96,12.4,1.37961,0.48120001,55491.76998,10.92399,35.4,0.3391204,0.1510948,0.9626166,west
2012,California,63.2,10.4,2.97,12.9,2.33956,0.4822,56372.68434,10.93974,35.5,0.3275861,0.1518864,0.9754165,west
2013,California,62.8,8.9,2.97,12.6,1.64351,0.4903,57936.91354,10.96711,35.7,0.3250701,0.1524415,0.9889005,west
2014,California,62.4,7.5,2.98,12.2,2.4483,0.48899999,59530.25799,10.99424,36,0.314063,0.152176,1.009404,west
2015,California,62.1,6.2,2.97,11.3,2.14588,0.4876,61978.32462,11.03454,36.2,0.3068978,0.1537098,1.024936,west
2005,Colorado,72.3,5,2.51,8.3,2.37484,0.44799998,54981.38762,10.91475,34.7,0.1214134,0.0491117,0.2716825,west
2006,Colorado,72.4,4.3,2.52,8.4,0.847382,0.44999999,53882.44456,10.89456,35.4,0.133366,0.0502925,0.2748256,west
2007,Colorado,72.2,3.7,2.56,8.4,0.624497,0.45199999,54422.88367,10.90454,35.7,0.1224721,0.0523559,0.2791919,west
2008,Colorado,72.1,4.8,2.55,7.8,0.809806,0.45699999,54199.12265,10.90042,35.8,0.1354382,0.053643,0.2851697,west
2009,Colorado,70.9,7.3,2.57,8.9,2.78621,0.45300001,52217.34509,10.86317,35.7,0.129145,0.0550606,0.2875755,west
2010,Colorado,70.4,8.7,2.52,9.4,1.18834,0.45699999,52443.41197,10.86749,36,0.1171586,0.056148,0.296927,west
2011,Colorado,69.7,8.4,2.53,9.1,1.17261,0.45879999,52509.53231,10.86875,36.2,0.1089597,0.0570803,0.3006638,west
2012,Colorado,69,7.9,2.54,9.3,1.73491,0.45789999,52725.7906,10.87286,36.2,0.1063589,0.0606394,0.3024419,west
2013,Colorado,68.1,6.9,2.57,8.7,0.569436,0.4614,53628.1824,10.88983,36.4,0.0980094,0.0575222,0.3042594,west
2014,Colorado,67.6,5,2.57,8,0.373422,0.45840001,55081.54486,10.91657,36.3,0.107816,0.0584383,0.3078902,west
2015,Colorado,66.8,3.9,2.57,7.6,0,0.458,56429.64952,10.94075,36.4,0.0940972,0.0601537,0.311534,west
2005,Connecticut,67.1,4.9,2.56,6.2,6.84353,0.47899997,71429.76941,11.17647,39.3,0.1319062,0.1175115,0.1453471,northeast
2006,Connecticut,67.9,4.3,2.56,5.9,3.12726,0.47999999,71782.06983,11.18139,39.1,0.1429627,0.1231658,0.150117,northeast
2007,Connecticut,68.5,4.5,2.56,5.7,4.81959,0.48100001,74559.29546,11.21935,39.1,0.1324101,0.122051,0.1555956,northeast
2008,Connecticut,69,5.7,2.55,6.7,1.42806,0.486,74180.01105,11.21425,39.3,0.1332458,0.1284979,0.162739,northeast
2009,Connecticut,68.8,7.9,2.57,6.7,0.568458,0.47999999,70500.14179,11.16337,39.5,0.1310596,0.1316367,0.1695628,northeast
2010,Connecticut,68.3,9.1,2.55,7.2,1.11823,0.486,69179.51003,11.14446,40,0.1293356,0.1404487,0.1896502,northeast
2011,Connecticut,67.7,8.8,2.56,7.9,0,0.48590001,67589.64028,11.12121,40.3,0.1225687,0.1420767,0.1952467,northeast
2012,Connecticut,66.3,8.3,2.56,7.9,2.2282,0.49149999,67904.66397,11.12586,40.4,0.1121072,0.1457951,0.2032205,northeast
2013,Connecticut,65.2,7.8,2.6,7.6,3.61505,0.49939999,67039.68256,11.11304,40.5,0.1205902,0.1488099,0.2114488,northeast
2014,Connecticut,65.8,6.6,2.57,7.5,2.50231,0.50050002,66049.51718,11.09816,40.5,0.1091463,0.1507985,0.2194529,northeast
2015,Connecticut,65.8,5.7,2.59,7.4,1.6709,0.49160001,67369.65682,11.11795,40.6,0.1105139,0.1559848,0.2269792,northeast
2005,Delaware,67,4.1,2.58,7.6,2.36644,0.43299997,73264.39307,11.20183,37.9,0.1499483,0.2841006,0.0880976,south
2006,Delaware,67.1,3.6,2.59,7.6,8.14647,0.43399999,72054.64007,11.18518,37.5,0.1769964,0.2962875,0.0917485,south
2007,Delaware,66.4,3.4,2.56,7.5,5.7356,0.435,70811.02586,11.16777,37.8,0.1613566,0.2911687,0.0947914,south
2008,Delaware,65.9,4.9,2.58,6.9,8.01748,0.447,67182.62926,11.11517,38.3,0.1518771,0.3016957,0.0992303,south
2009,Delaware,63.8,8.3,2.63,7.1,1.12979,0.43399999,68243.67263,11.13084,38.2,0.1349457,0.3081837,0.1071357,south
2010,Delaware,62,8.4,2.66,8.1,1.1114,0.44,66701.98556,11.10799,38.8,0.1382252,0.325955,0.1256049,south
2011,Delaware,62.3,7.5,2.65,8,2.20474,0.4404,68365.9382,11.13263,39.1,0.1618901,0.3287288,0.1291068,south
2012,Delaware,62,7.2,2.62,8.2,3.27121,0.43560001,67578.8268,11.12105,39.2,0.1395322,0.3340162,0.1336624,south
2013,Delaware,60.9,6.7,2.66,8.5,5.40103,0.4513,63901.6205,11.0651,39.1,0.132145,0.3382219,0.136715,south
2014,Delaware,61.4,5.7,2.6,8.5,0,0.44940001,68076.68028,11.12839,39.6,0.110414,0.3420187,0.1401643,south
2015,Delaware,62.5,4.9,2.61,8.7,1.05716,0.45230001,69386.66631,11.14745,39.7,0.1222806,0.3418369,0.1430409,south
2005,Florida,62.8,3.7,2.47,9.7,2.354,0.465,46387.71777,10.74479,39.5,0.2184414,0.2353736,0.3168976,south
2006,Florida,63.5,3.2,2.49,9,4.62377,0.46700001,46122.21499,10.73905,39.8,0.2264005,0.2445892,0.3299759,south
2007,Florida,63.9,4,2.52,8.6,3.75657,0.46900001,45797.73891,10.73199,40,0.2197972,0.2451829,0.3399142,south
2008,Florida,63.7,6.3,2.54,9.5,3.60098,0.47099999,43823.69799,10.68793,40.3,0.2231432,0.2555793,0.3491367,south
2009,Florida,62.3,10.4,2.59,10.7,3.72209,0.46900001,40903.46266,10.61897,40.1,0.235468,0.2637855,0.3629908,south
2010,Florida,61.6,11.1,2.62,12,2.7596,0.47400001,40661.62289,10.61304,40.7,0.2227692,0.27539,0.3907709,south
2011,Florida,61,10,2.62,12.4,2.09891,0.48109999,40075.88256,10.59853,41.1,0.2184929,0.2788048,0.398542,south
2012,Florida,60.7,8.5,2.62,12.6,3.20951,0.48280001,39824.19814,10.59223,41.1,0.1985298,0.2832024,0.4088921,south
2013,Florida,60.3,7.2,2.65,12.4,2.50603,0.48429999,40101.13832,10.59916,41.5,0.1947721,0.2857934,0.4202286,south
2014,Florida,60,6.3,2.66,12,3.21716,0.48339999,40431.72387,10.60737,41.6,0.1919364,0.2913513,0.4331494,south
2015,Florida,59,5.5,2.66,11.3,4.09446,0.48719999,41236.9509,10.62709,41.8,0.1832823,0.2937005,0.4442872,south
2005,Georgia,68,5.3,2.66,11.6,3.58506,0.458,50507.64551,10.82988,34.3,0.2207164,0.485176,0.1187262,south
2006,Georgia,68.1,4.7,2.69,11.1,0.982982,0.461,48118.88507,10.78143,34.6,0.2401437,0.504342,0.1265486,south
2007,Georgia,68.1,4.5,2.72,10.7,0.855616,0.46399999,47466.99944,10.76779,34.8,0.2276706,0.5098577,0.1310073,south
2008,Georgia,67.8,6.2,2.71,11.1,2.47787,0.46700001,45780.33907,10.73161,35,0.2190951,0.5178079,0.1372927,south
2009,Georgia,65.6,9.9,2.75,12.7,2.54344,0.46900001,43366.82384,10.67745,34.6,0.2237733,0.522704,0.1447696,south
2010,Georgia,64.1,10.5,2.72,13.7,3.80949,0.46799999,44583.98532,10.70513,35.4,0.2132865,0.5492585,0.1581159,south
2011,Georgia,64.3,10.2,2.74,14.7,4.58472,0.477,44817.3222,10.71035,35.5,0.2121653,0.5553544,0.1617342,south
2012,Georgia,64,9.2,2.73,15,4.23389,0.48089999,44771.63184,10.70933,35.7,0.1977297,0.5610135,0.165618,south
2013,Georgia,62.9,8.2,2.74,14.5,2.70212,0.48370001,45112.7414,10.71692,35.9,0.1964106,0.5675555,0.1663449,south
2014,Georgia,61.9,7.1,2.74,14.1,4.65469,0.48010001,45958.77142,10.7355,36.1,0.1847503,0.577908,0.1684455,south
